,B,MIN,MAX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
task,B,MIN,MAX,N,N,N,N,N,N,N,N,N,N,R,R,R,R,R,L,L,L,L,L,R,R,R,R,R,H,H,H,R,R,R,R,R,R,R,C,C,C,C,C,R,R,R,R,R
heart_rate,70.0,40.0,180.0,74.0,78.0,82.0,86.0,90.0,94.0,98.0,102.0,106.0,110.0,105.0,100.0,95.0,90.0,85.0,87.0,89.0,91.0,93.0,95.0,90.0,85.0,80.0,75.0,70.0,88.0,106.0,124.0,119.0,114.0,109.0,104.0,99.0,94.0,89.0,90.0,91.0,92.0,93.0,94.0,89.0,84.0,79.0,74.0,74.0
blood_pressure_sys,120.0,90.0,180.0,120.5,121.0,121.5,122.0,122.5,123.0,123.5,124.0,124.5,125.0,124.5,124.0,123.5,123.0,122.5,122.5,122.5,122.5,122.5,122.5,122.0,121.5,121.0,120.5,120.0,121.0,122.0,123.0,122.5,122.0,121.5,121.0,120.5,120.0,120.0,120.1,120.2,120.3,120.4,120.5,120.5,120.5,120.5,120.5,120.5
blood_pressure_dia,80.0,60.0,120.0,80.02,80.04,80.06,80.08,80.1,80.12,80.14,80.16,80.18,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.7,81.2,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7,81.7
respiration_rate,12.0,6.0,30.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,19.0,16.0,13.0,13.0,13.0,13.3,13.6,13.9,14.2,14.5,14.5,14.5,14.5,14.5,14.5,19.5,24.5,29.5,26.5,23.5,20.5,17.5,14.5,14.5,14.5,14.7,14.9,15.1,15.3,15.5,12.5,12.5,12.5,12.5,12.5
oxygen_saturation,0.98,0.8,1.0,0.977,0.974,0.971,0.968,0.965,0.962,0.959,0.956,0.953,0.95,0.952,0.954,0.956,0.958,0.96,0.959,0.958,0.957,0.956,0.955,0.957,0.959,0.961,0.963,0.965,0.957,0.949,0.941,0.943,0.945,0.947,0.949,0.951,0.953,0.955,0.955,0.955,0.955,0.955,0.955,0.957,0.959,0.961,0.963,0.965
blood_o2_pa,95.0,60.0,110.0,94.8,94.6,94.4,94.2,94.0,93.8,93.6,93.4,93.2,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.5,92.0,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.5,91.4,91.3,91.2,91.1,91.0,91.0,91.0,91.0,91.0,91.0
blood_co2_pa,40.0,30.0,55.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,49.7,49.4,49.1,48.8,48.5,49.0,49.5,50.0,50.5,51.0,50.7,50.4,50.1,49.8,49.5,53.0,55.0,55.0,54.7,54.4,54.1,53.8,53.5,53.2,52.9,53.0,53.1,53.2,53.3,53.4,53.1,52.8,52.5,52.2,51.9
n2_saturation,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
metabolic_rate,80.0,80.0,400.0,95.0,110.0,125.0,140.0,155.0,170.0,185.0,200.0,215.0,230.0,220.0,210.0,200.0,190.0,180.0,185.0,190.0,195.0,200.0,205.0,195.0,185.0,175.0,165.0,155.0,185.0,215.0,245.0,235.0,225.0,215.0,205.0,195.0,185.0,175.0,178.0,181.0,184.0,187.0,190.0,180.0,170.0,160.0,150.0,140.0
core_temp,37.0,34.0,39.0,37.01,37.02,37.03,37.04,37.05,37.06,37.07,37.08,37.09,37.1,37.09,37.08,37.07,37.06,37.05,37.055,37.06,37.065,37.07,37.075,37.065,37.055,37.045,37.035,37.025,37.055,37.085,37.115,37.105,37.095,37.085,37.075,37.065,37.055,37.045,37.048,37.051,37.054,37.057,37.06,37.05,37.04,37.03,37.02,37.01
skin_temp,33.0,28.0,36.0,33.02,33.04,33.06,33.08,33.1,33.12,33.14,33.16,33.18,33.2,33.203,33.206,33.209,33.212,33.215,33.225,33.235,33.245,33.255,33.265,33.268,33.271,33.274,33.277,33.28,33.34,33.4,33.46,33.463,33.466,33.469,33.472,33.475,33.478,33.481,33.486,33.491,33.496,33.501,33.506,33.509,33.512,33.515,33.518,33.521
sweat_rate,0.0,0.0,2.0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.205,0.21,0.215,0.22,0.225,0.235,0.245,0.255,0.265,0.275,0.28,0.285,0.29,0.295,0.3,0.37,0.44,0.51,0.515,0.52,0.525,0.53,0.535,0.54,0.545,0.55,0.555,0.56,0.565,0.57,0.575,0.58,0.585,0.59,0.595
glucose_level,90.0,60.0,180.0,89.8,89.6,89.4,89.2,89.0,88.8,88.6,88.4,88.2,88.0,88.1,88.2,88.3,88.4,88.5,88.45,88.4,88.35,88.3,88.25,88.35,88.45,88.55,88.65,88.75,88.25,87.75,87.25,87.35,87.45,87.55,87.65,87.75,87.85,87.95,87.87,87.79,87.71,87.63,87.55,87.65,87.75,87.85,87.95,88.05
radiation_dose_mSv,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscle_fatigue,0.0,0.0,1.0,0.004,0.008,0.012,0.016,0.02,0.024,0.028,0.032,0.036,0.04,0.0405,0.041,0.0415,0.042,0.0425,0.0435,0.0445,0.0455,0.0465,0.0475,0.048,0.0485,0.049,0.0495,0.05,0.06,0.07,0.08,0.0805,0.081,0.0815,0.082,0.0825,0.083,0.0835,0.084,0.0845,0.085,0.0855,0.086,0.0865,0.087,0.0875,0.088,0.0885
cognitive_load,0.1,0.0,1.0,0.104,0.108,0.112,0.116,0.12,0.124,0.128,0.132,0.136,0.14,0.135,0.13,0.125,0.12,0.115,0.116,0.117,0.118,0.119,0.12,0.115,0.11,0.105,0.1,0.1,0.108,0.116,0.124,0.119,0.114,0.109,0.104,0.104,0.104,0.104,0.154,0.204,0.254,0.304,0.354,0.349,0.344,0.339,0.334,0.329
stress_index,0.1,0.0,1.0,0.103,0.106,0.109,0.112,0.115,0.118,0.121,0.124,0.127,0.13,0.128,0.126,0.124,0.122,0.12,0.121,0.122,0.123,0.124,0.125,0.123,0.121,0.119,0.117,0.115,0.121,0.127,0.133,0.131,0.129,0.127,0.125,0.123,0.121,0.119,0.139,0.159,0.179,0.199,0.219,0.217,0.215,0.213,0.211,0.209
fear,0.0,0.0,1.0,0.002,0.004,0.006,0.008,0.01,0.012,0.014,0.016,0.018,0.02,0.018,0.016,0.014,0.012,0.01,0.011,0.012,0.013,0.014,0.015,0.013,0.011,0.009,0.007,0.005,0.01,0.015,0.02,0.018,0.016,0.014,0.012,0.01,0.008,0.006,0.008,0.01,0.012,0.014,0.016,0.014,0.012,0.01,0.008,0.006
adrenaline_lvl,0.0,0.0,1.0,0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.29,0.28,0.27,0.26,0.25,0.26,0.27,0.28,0.29,0.3,0.29,0.28,0.27,0.26,0.25,0.31,0.37,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.375,0.39,0.405,0.42,0.435,0.425,0.415,0.405,0.395,0.385
mission_elapsed_time,0.0,0.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0
